Area Name,Year,Month,Adjusted,LaborForce,Employed,Unemployed,Unemployment Rate(%),Labor Force Participation Rate(%),Employment to Population Rate(%)
Dare County,2020,00,Not Seasonally Adjusted,19065,17205,1860,9.8,,
Dare County,2021,00,Not Seasonally Adjusted,19655,18487,1168,5.9,,
Dare County,2022,00,Not Seasonally Adjusted,20014,19157,857,4.3,,
Davidson County,2017,00,Not Seasonally Adjusted,78497,75125,3372,4.3,,
Davidson County,2018,00,Not Seasonally Adjusted,79203,76268,2935,3.7,,
Davidson County,2019,00,Not Seasonally Adjusted,80286,77361,2925,3.6,,
Davidson County,2020,00,Not Seasonally Adjusted,77487,72119,5368,6.9,,
Davidson County,2021,00,Not Seasonally Adjusted,78821,75166,3655,4.6,,
Davidson County,2022,00,Not Seasonally Adjusted,81618,78764,2854,3.5,,
Davie County,2017,00,Not Seasonally Adjusted,20057,19257,800,4.0,,
Davie County,2018,00,Not Seasonally Adjusted,20235,19531,704,3.5,,
Davie County,2019,00,Not Seasonally Adjusted,20430,19742,688,3.4,,
Davie County,2020,00,Not Seasonally Adjusted,19722,18414,1308,6.6,,
Davie County,2021,00,Not Seasonally Adjusted,20062,19183,879,4.4,,
Davie County,2022,00,Not Seasonally Adjusted,20811,20107,704,3.4,,
Duplin County,2017,00,Not Seasonally Adjusted,25093,23873,1220,4.9,,
Duplin County,2018,00,Not Seasonally Adjusted,24667,23594,1073,4.3,,
Duplin County,2019,00,Not Seasonally Adjusted,25135,24136,999,4.0,,
Duplin County,2020,00,Not Seasonally Adjusted,24039,22712,1327,5.5,,
Duplin County,2021,00,Not Seasonally Adjusted,24152,23060,1092,4.5,,
Duplin County,2022,00,Not Seasonally Adjusted,24724,23819,905,3.7,,
Durham County,2017,00,Not Seasonally Adjusted,162911,156312,6599,4.1,,
Durham County,2018,00,Not Seasonally Adjusted,166241,160308,5933,3.6,,
Durham County,2019,00,Not Seasonally Adjusted,171663,165859,5804,3.4,,
Durham County,2020,00,Not Seasonally Adjusted,169008,158365,10643,6.3,,
Durham County,2021,00,Not Seasonally Adjusted,171066,163761,7305,4.3,,
Durham County,2022,00,Not Seasonally Adjusted,178905,173231,5674,3.2,,
Edgecombe County,2017,00,Not Seasonally Adjusted,21633,19967,1666,7.7,,
Edgecombe County,2018,00,Not Seasonally Adjusted,21178,19713,1465,6.9,,
Edgecombe County,2019,00,Not Seasonally Adjusted,20750,19530,1220,5.9,,
Edgecombe County,2020,00,Not Seasonally Adjusted,19948,17873,2075,10.4,,
Edgecombe County,2021,00,Not Seasonally Adjusted,20322,18605,1717,8.4,,
Edgecombe County,2022,00,Not Seasonally Adjusted,20272,18947,1325,6.5,,
Forsyth County,2017,00,Not Seasonally Adjusted,182173,174208,7965,4.4,,
Forsyth County,2018,00,Not Seasonally Adjusted,184119,176975,7144,3.9,,
Forsyth County,2019,00,Not Seasonally Adjusted,186866,179938,6928,3.7,,
Forsyth County,2020,00,Not Seasonally Adjusted,179835,166784,13051,7.3,,
Forsyth County,2021,00,Not Seasonally Adjusted,182861,173726,9135,5.0,,
Forsyth County,2022,00,Not Seasonally Adjusted,189065,182052,7013,3.7,,
Franklin County,2017,00,Not Seasonally Adjusted,29683,28297,1386,4.7,,
Franklin County,2018,00,Not Seasonally Adjusted,30304,29066,1238,4.1,,
Franklin County,2019,00,Not Seasonally Adjusted,31226,29970,1256,4.0,,
Franklin County,2020,00,Not Seasonally Adjusted,30695,28658,2037,6.6,,
Franklin County,2021,00,Not Seasonally Adjusted,32085,30545,1540,4.8,,
Franklin County,2022,00,Not Seasonally Adjusted,34010,32772,1238,3.6,,
Gaston County,2017,00,Not Seasonally Adjusted,106267,101356,4911,4.6,,
Gaston County,2018,00,Not Seasonally Adjusted,107449,103176,4273,4.0,,
Gaston County,2019,00,Not Seasonally Adjusted,109091,104871,4220,3.9,,
